"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","0","0","Usuário valida o schema de produto por ID","0"
"0","","0","","1","0","Usuário tenta listar produto com ID inválido","0"
"0","","0","","1","0","Usuário realiza um depósito com sucesso","0"
"0","","0","","1","0","Usuário tenta listar usuários com email inválido","0"
"0","","0","","1","0","Usuário consulta e valida os dados de um usuário por ID","0"
"0","","0","","1","0","Usuário valida schema de resposta ao listar usuários por email","0"
"0","","0","","1","0","Usuário valida schema de resposta ao listar usuários por ID","0"
"0","","1","","0","0","Usuário consulta produto por ID válido","0"
"0","","0","","1","0","Usuário tenta consultar um usuário com ID inexistente","0"
"0","","0","","1","0","Usuário consulta e valida a listagem de usuários por email","0"
"2","","0","","0","0","Usuário cadastra um produto com sucesso","0"
